Accident_Id,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
202200014069,12,10,2022,08:30,1,14,14118,2,1,1,2,Rue de Touraine,"49,1946600000"," -0,3974200000"
202200002737,6,7,2022,07:00,1,08,08090,2,1,7,6,,"49,6316500000","5,1680400000"
202200040586,14,6,2022,18:50,1,93,93077,2,1,1,3,Avenue de Rosny,"48,8852300000","2,5035100000"
202200040523,24,2,2022,19:23,3,13,13211,1,1,1,2,A50-Sens Marseille vers Aubagne,"43,2920178854","5,4529586434"
202200035326,26,2,2022,15:50,1,61,61085,1,3,1,3,D909,"48,6090510000"," -0,1939340000"
202200011651,25,4,2022,06:35,1,971,97101,2,1,1,6,ROUTE DES ABYMES,"16,2539300000"," -61,5233800000"
202200044534,1,4,2022,08:25,1,974,97416,1,1,1,3,CD 26," -21,2984000000","55,4380800000"
202200026569,13,12,2022,22:15,5,94,94028,2,1,8,2,COMPAGNONS DE LA LIBERATION(AVE DES),"48,7778100000","2,4604500000"
202200011543,19,2,2022,03:05,3,57,57672,1,1,1,1,Autoroute A31,"49,3632400000","6,1069600000"
202200041269,29,10,2022,17:07,1,47,47032,1,1,7,2,FREGATE (Route de la ),"44,1958300000","0,6739800000"
202200028477,12,12,2022,05:50,1,974,97422,2,1,1,7,Rue Raphael Douyère," -21,2031780000","55,5441450000"
202200017815,23,4,2022,12:05,1,27,27016,1,1,7,1,Route de Paix,"49,2538040000","1,4155730000"
202200000894,11,2,2022,16:00,1,38,38053,2,1,1,6,BARBUSSE,"45,5908200000","5,2716100000"
202200017160,25,5,2022,15:00,1,77,77083,1,1,1,1,BLAISE PASCAL (AVENUE),"48,8408500000","2,5963700000"
202200040295,5,12,2022,07:05,2,94,94074,2,4,2,6,Rue du Colonel Fabien,"48,7415400000","2,4746000000"
202200025689,16,4,2022,15:00,1,50,50461,1,1,1,1,"RN 13, PK 033+700, sens CAEN / CHERBOURG","49,4942630000"," -1,4160990000"
202200052521,27,3,2022,14:50,1,93,93053,2,3,1,1,Rue de Brément / Chemin de Montreuil à Claye,"48,8867900000","2,4701900000"
202200012249,13,10,2022,16:58,1,59,59108,1,1,2,7,12 Rue de Bellevue,"50,1588905372","3,4990006685"
202200042622,13,7,2022,00:15,3,83,83143,1,1,1,7,Route de Carces,"43,4523814854","6,1052119732"
202200025641,20,6,2022,19:03,1,75,75101,2,3,1,3,RUE SAINT HONORE,"48,8625040000","2,3380930000"
202200029773,4,11,2022,15:00,1,76,76341,1,1,1,4,RD 6015,"49,5081100000","0,1968900000"
202200015287,4,2,2022,22:52,5,44,44109,2,1,1,7,2 Rue du Quatre Août 1789,"47,2060500000"," -1,5914000000"
202200021640,23,4,2022,18:22,1,45,45302,2,6,1,6,Rue Nationale 20,"47,9569229534","1,8901412488"
202200053097,26,11,2022,08:30,1,974,97411,2,1,1,6,BRASSENS (AVENUE GEORGES)," -20,9043300000","55,4876600000"
202200008500,11,2,2022,13:20,1,57,57227,1,1,1,2,"A320, PK11+400, sens Allemagne / France","49,1968910000","6,9342610000"
202200026259,11,11,2022,09:45,1,81,81128,1,1,1,3,RD 58,"43,6423312053","2,3192591965"
202200037537,8,4,2022,10:30,1,62,62320,1,3,3,3,D939,"50,3127270000","2,6904560000"
202200001198,5,7,2022,17:35,1,75,75115,2,1,1,3,RUE LINOIS,"48,8487340000","2,2825620000"
202200034684,21,1,2022,10:35,1,72,72029,2,9,1,6,Avenue du Joncheray,"48,2288070000","0,1347650000"
202200047489,5,1,2022,10:40,1,59,59128,2,2,1,6,POINCARE RUE,"50,6468198042","2,9587313533"
202200005396,30,12,2022,08:00,5,27,27562,2,3,1,7,CHAMBRAY (ROUTE DE),"49,0952700000","1,4511500000"
202200047752,24,11,2022,20:45,5,94,94015,2,1,1,1,PASTEUR (BD),"48,8334800000","2,5294400000"
202200051053,6,1,2022,10:35,1,71,71486,2,1,1,1,FRANKLIN ROOSEVELT (RUE),"46,6468800000","4,3607800000"
202200004049,19,3,2022,12:25,1,33,33415,1,1,1,5,RD 137,"45,0166670000"," -0,4452900000"
202200016103,26,6,2022,01:15,3,77,77517,1,1,1,6,A104.INT,"48,9070300000","2,6393300000"
202200030918,29,8,2022,08:00,1,33,33174,1,1,1,2,A89,"44,9373860000"," -0,2593330000"
202200052482,27,3,2022,17:05,1,94,94033,2,2,1,3,Boulevard Galliéni,"48,8474500000","2,4786900000"
202200000707,20,10,2022,18:00,2,91,91553,1,1,8,3,RN 104,"48,6289600000","2,4823600000"
202200055036,29,4,2022,21:00,1,78,78481,2,1,1,1,LATTRE DE TASSIGNY (AVE DU MARECHAL DE),"48,8979000000","2,1077000000"
202200001168,4,7,2022,18:10,1,33,33162,2,3,1,3,Avenue du Taillan-Médoc,"44,8792100000"," -0,6465100000"
202200045964,22,9,2022,20:25,5,2A,2A004,2,1,1,7,BEVERINI VICO PAIR AVENUE,"41,9266000000","8,7358000000"
202200036236,7,12,2022,00:45,5,75,75108,2,3,1,7,AVENUE GEORGE V,"48,8719030000","2,3009400000"
202200046522,19,2,2022,09:20,2,69,69092,2,1,1,6,Rue de Thizy,"45,9882965067","4,7101534848"
202200033644,6,11,2022,12:15,1,95,95487,2,1,3,3,Rue Jean Catelas,"49,1536360000","2,2727430000"
202200008301,29,6,2022,11:30,1,11,11069,2,3,1,3,124 Route de Saint Hilaire,"43,2026600000","2,3597000000"
202200004598,1,7,2022,22:40,3,21,21154,1,1,1,6,D928,"47,8529600000","4,5850700000"
202200035627,3,11,2022,23:10,5,38,38169,2,3,3,3,AVENUE DU VERCORS,"45,1924000000","5,6928000000"
202200017723,21,4,2022,08:03,1,93,93066,2,3,1,6,Rue Saint Just / Rue de l'Encyclopédie,"48,9084590000","2,3623180000"
202200052117,8,6,2022,16:35,1,26,26088,1,1,1,3,A49,"45,0231590000","5,0781730000"
202200001001,18,9,2022,17:20,1,83,83056,1,1,1,6,D54,"43,5474520000","6,5326540000"
202200009693,19,3,2022,18:08,1,71,71170,1,1,1,7,Route de Cretaine,"46,9143050000","4,8307010000"
202200050480,24,10,2022,18:00,2,12,12047,1,1,1,7,D45- MAJAU,"44,4365620000","3,0786520000"
202200030111,3,10,2022,01:45,5,75,75118,2,7,1,3,PLACE ALBERT KAHN,"48,8959770000","2,3464180000"
202200023815,6,10,2022,11:50,1,75,75119,2,1,1,2,PORTE DE LA VILLETTE,"48,8972130000","2,3943540000"
202200043216,30,10,2022,00:50,3,2B,2B145,1,1,1,7,D6,"42,4782260000","9,4289300000"
202200001812,27,11,2022,03:45,3,988,98822,1,3,1,6,Tribu de OUINDO - RT3/RM 43," -20,9907240000","165,4002080000"
202200014261,11,10,2022,07:55,1,973,97302,2,3,1,3,RABAN (ROUTE DE),"4,9202470518"," -52,3126861453"
202200021124,17,12,2022,17:10,5,75,75120,2,2,1,6,RUE DES PYRENEES,"48,8640600000","2,3991320000"
202200032381,10,12,2022,18:25,5,75,75115,2,2,1,3,RUE DE LA CROIX NIVERT,"48,8428770000","2,2950850000"
202200013679,10,9,2022,12:15,1,65,65435,1,1,1,6,D920,"42,9486800000"," -0,0833850000"
