Num_Acc,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma
202200023079,4,RUE DE ROME,0,,2,3,1,1,(1),(1),1,, -1,1,-1,5,30
202200003670,1,AUTOROUTE A1,0,,1,2,3,1,0,100,2,, -1,1,5,6,50
202200016169,3,2089,-1,,2,2,0,1,8,970,4,, -1,2,0,1,50
202200026884,1,AUTOROUTE A3,0,,1,5,0,1,6,900,1,, -1,1,3,1,70
202200050620,3,171,0,,2,2,0,1,4,670,1,, -1,1,0,3,80
202200049677,4,RUE DES PYRENEES,0,,2,2,3,3,(1),(1),2,, -1,1,0,1,30
202200035510,3,906,0,,2,2,0,1,0,0,1,, -1,2,0,1,50
202200045935,3,61,0,D,2,2,0,1,27,919,1,, -1,1,0,1,80
202200005015,3,384,-1,,2,2,0,1,10,507,1,, -1,1,9,1,50
202200022750,3,VIADUC (RUE DU),0,,2,2,0,2,1,0,3,, -1,1,0,1,50
202200040741,4,BOULEVARD DU GENERAL JEAN SIMON,0,,2,4,1,2,(1),(1),1,, -1,1,0,1,30
202200025404,3,98,-1,,2,2,0,2,16,40,2,, -1,1,2,1,80
202200000602,2,12,-1,,1,1,0,1,67,815,3,, -1,2,3,1,50
202200001737,1,A4,0,,3,10,0,1,0,699,1,, -1,1,0,1,90
202200012377,3,43,-1,,2,2,0,2,9,750,3,, -1,1,0,3,80
202200004269,3,INDUSTRIE (RUE DE L'),0,,1,2,1,1,27,1551,1,, -1,1,0,5,50
202200025334,4,1,-1,,-1,2,0,1,(1),(1),1,, -1,1,0,4,30
202200021034,3,AV DE MORANGIS,0,,2,1,1,1,0,0,1,, -1,1,9,5,50
202200026166,3,MIREPOIX ROUTE DE,0,,2,2,0,1,28,817,1,, -1,1,5,1,50
202200045753,4,DE STAEL RUE MADAME,0,,2,2,0,1,(1),(1),1,, -1,1,0,1,50
202200010540,3,44,0,D,2,2,0,1,49,300,4,, -1,2,0,8,80
202200008562,4,HUGO VICTOR  BVD N°104 - 294,0,,1,1,0,1,(1),(1),1,, -1,1,0,1,50
